,Id,Name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
29,29,Cuppa,No,No,3.3,23,Banashankari,Cafe,NA,"Cafe, Fast Food",550,Cafes
53,53,BeijingBites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery
77,77,TheGoodBowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",NA,"Italian, North Indian, Biryani",500,Delivery
80,80,LSDCafe,No,No,2.9,84,Banashankari,Delivery,NA,"Chinese, Continental, Italian, North Indian",700,NA
83,83,OmSriVinayakaChats,No,No,0.0,0,Banashankari,"Takeaway, Delivery",NA,"Street Food, Fast Food",500,Delivery
88,88,KadaluSeaFoodRestaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,NA,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
117,117,KatriguppeDonneBiryani,No,No,3.2,4,Banashankari,Quick Bites,NA,North Indian,300,Delivery
135,135,RuchiMaayaka,No,No,3.3,8,Banashankari,Delivery,NA,South Indian,100,Delivery
138,138,RollMagicFastFood,No,No,0.0,0,Banashankari,"Takeaway, Delivery",NA,"Biryani, Rolls, Chinese",200,Delivery
140,140,ThanishkaNatiAndKaravaliStyle,No,No,0.0,0,Banashankari,Quick Bites,NA,"Biryani, Fast Food",400,Delivery
160,160,BOXDesiMeals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery
178,178,Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",NA,"Italian, Pizza",400,Delivery
198,198,JustShawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300,Delivery
238,238,BiggiesBurgernMore,Yes,No,3.6,58,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650,Delivery
254,254,PotatoHouse,Yes,No,3.4,9,Uttarahalli,Quick Bites,NA,Street Food,200,Delivery
282,282,BendakaluruBytes,Yes,No,3.2,154,Vijay Nagar,Quick Bites,NA,Fast Food,300,Delivery
291,291,ShreeMandarathiGrand,Yes,No,3.7,38,Uttarahalli,Casual Dining,NA,"South Indian, North Indian",400,Delivery
292,292,MojoPizzaXToppings,Yes,No,4.2,179,Banashankari,Delivery,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",Pizza,600,Delivery
296,296,ShanthiSagar,Yes,No,3.1,28,Uttarahalli,Casual Dining,NA,"South Indian, North Indian, Chinese",400,Delivery
303,303,WoodeePizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Delivery
320,320,SouthGrand,Yes,No,3.4,102,Uttarahalli,Casual Dining,Rava Dosa,"South Indian, North Indian, Chinese, Beverages",400,Delivery
325,325,FirangiBake,Yes,No,4.0,53,Rajarajeshwari Nagar,Delivery,"Lasagne, Steak, Masala Quesadilla, Garlic Bread","Mexican, Italian",600,Delivery
392,392,SriSaiVarietyDosa,Yes,No,3.8,25,Banashankari,Quick Bites,NA,South Indian,300,Delivery
394,394,CrunchandMunch,Yes,No,3.7,23,Uttarahalli,Quick Bites,NA,"Chinese, Street Food, Ice Cream",300,Delivery
415,415,SipnDine,Yes,No,3.6,218,Vijay Nagar,Casual Dining,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka","North Indian, Chinese, South Indian",800,Delivery
426,426,NewBiryaniMane,Yes,No,3.7,128,Uttarahalli,Casual Dining,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti","North Indian, Chinese, Biryani, South Indian",450,Delivery
482,482,ChettysCorner,Yes,No,3.4,30,Uttarahalli,Quick Bites,NA,"Fast Food, Burger, Pizza",200,Delivery
515,515,XOBelgianWaffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,NA,"Desserts, Beverages",400,Desserts
